,solar_system_name,planet_discovery_method,planet_orbital_inclination,planet_density,right_ascension,declination,host_temperature,host_mass,host_radius
2547,Kepler-24,Transit,,,19h21m39.18s,+38d20m37.5s,5897.0,,1.29
2548,Kepler-24,Transit,,,19h21m39.18s,+38d20m37.5s,5897.0,,1.29
2549,Kepler-24,Transit,,,19h21m39.18s,+38d20m37.5s,5897.0,,1.29
2550,Kepler-240,Transit,,,19h24m38.11s,+40d45m00.9s,4985.0,,0.74
2551,Kepler-240,Transit,,,19h24m38.11s,+40d45m00.9s,4985.0,,0.74
2552,Kepler-241,Transit,,,19h31m39.15s,+41d03m39.3s,4699.0,,0.67
2553,Kepler-241,Transit,,,19h31m39.15s,+41d03m39.3s,4699.0,,0.67
2554,Kepler-242,Transit,,,19h06m15.77s,+41d48m30.3s,5020.0,,0.85
2555,Kepler-242,Transit,,,19h06m15.77s,+41d48m30.3s,5020.0,,0.85
2556,Kepler-243,Transit,,,19h00m26.51s,+42d02m02.2s,5228.0,,0.84
2557,Kepler-243,Transit,,,19h00m26.51s,+42d02m02.2s,5228.0,,0.84
2558,Kepler-244,Transit,,,19h08m58.24s,+42d18m04.9s,5554.0,,0.8
2559,Kepler-244,Transit,,,19h08m58.24s,+42d18m04.9s,5554.0,,0.8
2560,Kepler-244,Transit,,,19h08m58.24s,+42d18m04.9s,5554.0,,0.8
2561,Kepler-245,Transit,,,19h26m33.35s,+42d26m10.7s,5100.0,,0.8
2562,Kepler-245,Transit,,,19h26m33.35s,+42d26m10.7s,5100.0,,0.8
2563,Kepler-245,Transit,,,19h26m33.35s,+42d26m10.7s,5100.0,,0.8
2564,Kepler-245,Transit,,,19h26m33.35s,+42d26m10.7s,5100.0,,0.8
2565,Kepler-246,Transit,,,19h45m56.02s,+42d39m48.3s,5206.0,,0.83
2566,Kepler-246,Transit,,,19h45m56.02s,+42d39m48.3s,5206.0,,0.83
2567,Kepler-247,Transit,,,19h14m34.21s,+43d02m21.4s,5100.0,,0.77
2568,Kepler-247,Transit,,,19h14m34.21s,+43d02m21.4s,5100.0,,0.77
2569,Kepler-247,Transit,,,19h14m34.21s,+43d02m21.4s,5100.0,,0.77
2570,Kepler-248,Transit,,,19h32m14.73s,+43d34m52.9s,5190.0,,0.83
2571,Kepler-248,Transit,,,19h32m14.73s,+43d34m52.9s,5190.0,,0.83
2572,Kepler-249,Transit,,,19h47m56.42s,+43d39m30.7s,3568.0,,0.48
2573,Kepler-249,Transit,,,19h47m56.42s,+43d39m30.7s,3568.0,,0.48
2574,Kepler-249,Transit,,,19h47m56.42s,+43d39m30.7s,3568.0,,0.48
2575,Kepler-25,Transit,92.827,2.32,19h06m33.21s,+39d29m16.4s,6270.0,1.19,1.31
2576,Kepler-25,Transit,92.764,0.588,19h06m33.21s,+39d29m16.4s,6270.0,1.19,1.31
2577,Kepler-25,Radial Velocity,,,19h06m33.21s,+39d29m16.4s,6270.0,1.19,1.31
2578,Kepler-250,Transit,,,19h18m22.74s,+44d08m31.0s,5160.0,,0.81
2579,Kepler-250,Transit,,,19h18m22.74s,+44d08m31.0s,5160.0,,0.81
