,solar_system_name,planet_discovery_method,planet_orbital_inclination,planet_density,right_ascension,declination,host_temperature,host_mass,host_radius
0,11 Com,Radial Velocity,,,12h20m43.03s,+17d47m34.3s,4742.0,2.7,19.0
1,11 UMi,Radial Velocity,,,15h17m05.89s,+71d49m26.0s,4213.0,2.78,29.79
2,14 And,Radial Velocity,,,23h31m17.42s,+39d14m10.3s,4813.0,2.2,11.0
3,14 Her,Radial Velocity,,,16h10m24.31s,+43d49m03.5s,5338.0,0.9,0.93
4,16 Cyg B,Radial Velocity,,,19h41m51.97s,+50d31m03.1s,5750.0,1.08,1.13
5,18 Del,Radial Velocity,,,20h58m25.94s,+10d50m21.4s,4979.0,2.3,8.5
6,1RXS J160929.1-210524,Imaging,,,16h09m30.30s,-21d04m58.9s,4060.0,0.85,
7,24 Boo,Radial Velocity,,,14h28m37.81s,+49d50m41.5s,4893.0,0.99,10.64
8,24 Sex,Radial Velocity,,,10h23m28.37s,-00d54m08.1s,5098.0,1.54,4.9
9,24 Sex,Radial Velocity,,,10h23m28.37s,-00d54m08.1s,5098.0,1.54,4.9
10,2MASS J01033563-5515561 A,Imaging,,,01h03m35.63s,-55d15m56.1s,,0.19,
11,2MASS J01225093-2439505,Imaging,,,01h22m50.94s,-24d39m50.6s,3530.0,0.4,
12,2MASS J02192210-3925225,Imaging,,,02h19m22.11s,-39d25m22.5s,3064.0,0.11,0.28
13,2MASS J04414489+2301513,Imaging,,,04h41m44.90s,+23d01m51.4s,,0.02,
14,2MASS J12073346-3932539,Imaging,,,12h07m33.47s,-39d32m54.0s,,0.02,
15,2MASS J19383260+4603591,Eclipse Timing Variations,,,19h38m32.61s,+46d03m59.1s,,0.48,
16,2MASS J21402931+1625183 A,Imaging,46.2,,21h40m29.32s,+16d25m18.3s,2300.0,0.08,0.12
17,2MASS J22362452+4751425,Imaging,,,22h36m24.53s,+47d51m42.6s,4045.0,0.6,
18,30 Ari B,Radial Velocity,,,02h36m57.74s,+24d38m53.0s,6331.0,1.93,1.41
19,4 UMa,Radial Velocity,,,08h40m12.82s,+64d19m40.6s,4415.0,1.23,18.11
20,42 Dra,Radial Velocity,,,18h25m59.14s,+65d33m48.5s,4200.0,0.98,22.03
21,47 UMa,Radial Velocity,,,10h59m27.97s,+40d25m48.9s,5892.0,1.03,1.23
22,47 UMa,Radial Velocity,,,10h59m27.97s,+40d25m48.9s,5892.0,1.03,1.23
23,47 UMa,Radial Velocity,,,10h59m27.97s,+40d25m48.9s,5892.0,1.03,1.23
24,51 Eri,Imaging,133.0,,04h37m36.13s,-02d28m24.8s,,1.75,
25,51 Peg,Radial Velocity,,,22h57m27.98s,+20d46m07.8s,5793.0,1.12,1.2
26,55 Cnc,Radial Velocity,90.0,,08h52m35.81s,+28d19m50.9s,5196.0,0.91,0.94
27,55 Cnc,Radial Velocity,90.0,,08h52m35.81s,+28d19m50.9s,5196.0,0.91,0.94
28,55 Cnc,Radial Velocity,90.0,,08h52m35.81s,+28d19m50.9s,5196.0,0.91,0.94
29,55 Cnc,Radial Velocity,83.3,6.4,08h52m35.81s,+28d19m50.9s,5196.0,0.91,0.94
30,55 Cnc,Radial Velocity,90.0,,08h52m35.81s,+28d19m50.9s,5196.0,0.91,0.94
31,6 Lyn,Radial Velocity,,,06h30m47.11s,+58d09m45.5s,4938.0,1.44,5.2
32,61 Vir,Radial Velocity,,,13h18m24.32s,-18d18m40.3s,5577.0,0.94,0.96
33,61 Vir,Radial Velocity,,,13h18m24.32s,-18d18m40.3s,5577.0,0.94,0.96
34,61 Vir,Radial Velocity,,,13h18m24.32s,-18d18m40.3s,5577.0,0.94,0.96
35,7 CMa,Radial Velocity,90.0,,06h36m41.04s,-19d15m21.2s,4826.0,1.34,4.87
36,7 CMa,Radial Velocity,90.0,,06h36m41.04s,-19d15m21.2s,4826.0,1.34,4.87
37,70 Vir,Radial Velocity,,,13h28m25.81s,+13d46m43.6s,5495.0,1.09,1.89
38,75 Cet,Radial Velocity,,,02h32m09.42s,-01d02m05.6s,4846.0,2.49,10.5
39,8 UMi,Radial Velocity,,,14h56m48.35s,+74d54m03.3s,4847.0,1.44,10.3
40,81 Cet,Radial Velocity,,,02h37m41.80s,-03d23m46.2s,4785.0,2.4,11.0
41,91 Aqr,Radial Velocity,,,23h15m53.50s,-09d05m15.9s,4665.0,1.4,11.0
42,AB Pic,Imaging,,,06h19m12.91s,-58d03m15.5s,,,
43,alf Ari,Radial Velocity,,,02h07m10.41s,+23d27m44.7s,4553.0,1.5,13.9
44,alf Tau,Radial Velocity,,,04h35m55.24s,+16d30m33.5s,4055.0,1.13,45.1
45,AU Mic,Transit,,4.4,20h45m09.53s,-31d20m27.2s,3700.0,0.5,0.75
46,BD+03 2562,Radial Velocity,,,11h50m15.55s,+02d45m36.5s,4095.0,1.14,32.35
47,BD+14 4559,Radial Velocity,,,21h13m35.99s,+14d41m21.8s,4864.0,0.49,0.86
48,BD+15 2375,Radial Velocity,,,11h45m55.72s,+14d36m59.0s,4649.0,1.08,8.95
49,BD+15 2940,Radial Velocity,,,16h00m22.94s,+15d32m48.9s,4796.0,1.1,14.7
50,BD+20 2457,Radial Velocity,,,10h16m44.86s,+19d53m29.1s,4259.0,10.83,71.02
51,BD+20 2457,Radial Velocity,,,10h16m44.86s,+19d53m29.1s,4259.0,10.83,71.02
52,BD+20 274,Radial Velocity,,,01h43m40.88s,+21d00m19.1s,4296.0,0.8,17.3
53,BD+20 594,Transit,89.55,,03h34m36.23s,+20d35m57.2s,5766.0,1.67,1.08
54,BD+48 738,Radial Velocity,,,02h42m50.45s,+49d35m13.1s,4414.0,0.74,11.0
55,BD+48 740,Radial Velocity,,,02h42m58.22s,+48d55m48.2s,4534.0,1.09,10.33
56,BD+49 828,Radial Velocity,,,03h02m33.73s,+49d43m48.0s,4943.0,1.52,7.6
57,BD-06 1339,Radial Velocity,,,05h53m00.28s,-05d59m41.4s,4324.0,0.7,
58,BD-06 1339,Radial Velocity,,,05h53m00.28s,-05d59m41.4s,4324.0,0.7,
59,BD-08 2823,Radial Velocity,,,10h00m47.72s,-09d31m00.0s,4816.0,0.5,0.71
60,BD-08 2823,Radial Velocity,,,10h00m47.72s,-09d31m00.0s,4816.0,0.5,0.71
61,BD-10 3166,Radial Velocity,,,10h58m28.80s,-10d46m13.4s,5393.0,1.47,0.91
62,BD-11 4672,Radial Velocity,,,18h33m28.84s,-11d38m09.7s,4550.0,0.65,0.64
63,BD-11 4672,Radial Velocity,,,18h33m28.84s,-11d38m09.7s,4550.0,0.65,0.64
64,BD-13 2130,Radial Velocity,,,07h37m09.23s,-13d54m23.9s,4545.0,2.12,19.17
65,BD-17 63,Radial Velocity,,,00h28m34.31s,-16d13m34.8s,4714.0,0.74,0.69
66,bet Cnc,Radial Velocity,,,08h16m30.92s,+09d11m08.0s,4092.1,1.7,47.2
67,bet Pic,Imaging,88.9,,05h47m17.09s,-51d03m59.4s,,1.76,
68,bet Pic,Radial Velocity,90.0,,05h47m17.09s,-51d03m59.4s,,1.76,
69,bet UMi,Radial Velocity,,,14h50m42.33s,+74d09m19.8s,4126.0,1.4,38.3
70,CFBDSIR J145829+101343,Imaging,,,14h58m29.00s,+10d13m43.0s,580.5,0.02,
71,CHXR 73,Imaging,,,11h06m28.77s,-77d37m33.2s,,0.35,
72,CI Tau,Radial Velocity,50.5,,04h33m52.01s,+22d50m30.1s,,0.9,
73,CoRoT-1,Transit,85.1,0.38,06h48m19.17s,-03d06m07.7s,5950.0,0.95,1.11
74,CoRoT-10,Transit,88.55,3.7,19h24m15.29s,+00d44m46.1s,5075.0,0.89,0.79
75,CoRoT-11,Transit,83.17,0.99,18h42m44.94s,+05d56m15.7s,6440.0,1.27,1.37
76,CoRoT-12,Transit,85.48,0.411,06h43m03.76s,-01d17m47.2s,5675.0,1.08,1.12
77,CoRoT-13,Transit,88.02,2.34,06h50m53.07s,-05d05m11.2s,5945.0,1.09,1.01
78,CoRoT-14,Transit,79.6,7.3,06h53m41.81s,-05d32m09.7s,6035.0,1.13,1.21
79,CoRoT-16,Transit,85.01,0.44,18h34m05.93s,-06d00m09.3s,5650.0,1.1,1.19
80,CoRoT-17,Transit,88.34,2.82,18h34m47.82s,-06d36m44.0s,5740.0,1.04,1.59
81,CoRoT-18,Transit,86.5,2.2,06h32m41.38s,-00d01m53.7s,5440.0,0.95,1.0
82,CoRoT-19,Transit,88.0,0.71,06h28m08.06s,-00d10m14.5s,6090.0,1.21,1.65
83,CoRoT-2,Transit,88.08,1.47,19h27m06.49s,+01d23m01.4s,5625.0,0.96,0.91
84,CoRoT-20,Transit,88.21,,06h30m52.90s,+00d13m36.9s,,1.14,
85,CoRoT-20,Radial Velocity,,,06h30m52.90s,+00d13m36.9s,,1.14,
86,CoRoT-21,Transit,86.8,1.36,06h44m12.588s,-00d17m56.868s,6200.0,1.29,1.95
87,CoRoT-22,Transit,89.749,0.249,18h42m40.11s,+06d13m08.9s,5939.0,1.1,1.14
88,CoRoT-23,Transit,85.7,3.0,18h39m07.83s,+04d21m28.1s,5900.0,1.14,1.61
89,CoRoT-24,Transit,86.5,0.9,06h47m41.41s,-03d43m09.5s,4950.0,0.91,0.86
90,CoRoT-24,Transit,89.0,1.3,06h47m41.41s,-03d43m09.5s,4950.0,0.91,0.86
91,CoRoT-25,Transit,84.5,0.15,18h42m31.12s,+06d30m49.8s,6040.0,1.09,1.19
92,CoRoT-26,Transit,86.8,0.28,18h39m00.12s,+06d58m11.2s,5590.0,1.09,1.79
93,CoRoT-27,Transit,86.7,12.6,18h33m59.00s,+05d32m18.5s,5900.0,1.05,1.08
94,CoRoT-28,Transit,88.1,0.69,18h34m45.20s,+05d34m25.4s,5150.0,1.01,1.78
95,CoRoT-29,Transit,87.3,1.45,18h35m36.50s,+06d28m46.7s,5260.0,0.97,0.9
96,CoRoT-3,Transit,85.9,26.4,19h28m13.26s,+00d07m18.6s,6740.0,1.37,1.56
97,CoRoT-30,Transit,90.0,3.45,18h30m24.264s,+06d50m09.424s,5650.0,0.98,0.91
98,CoRoT-31,Transit,83.2,0.33,06h19m16.975s,-04d25m20.194s,5700.0,1.25,2.15
99,CoRoT-4,Transit,90.0,0.525,06h48m46.72s,-00d40m22.0s,6190.0,1.16,1.17
100,CoRoT-5,Transit,85.83,0.217,06h45m06.54s,+00d48m54.9s,6100.0,1.0,1.19
101,CoRoT-6,Transit,89.07,2.32,18h44m17.41s,+06d39m47.5s,6090.0,1.05,1.02
102,CoRoT-7,Transit,80.1,,06h43m49.47s,-01d03m46.9s,5275.0,0.82,0.83
103,CoRoT-7,Radial Velocity,80.0,,06h43m49.47s,-01d03m46.9s,5275.0,0.82,0.83
104,CoRoT-8,Transit,88.4,1.6,19h26m21.24s,+01d25m35.2s,5080.0,0.88,0.77
105,CoRoT-9,Transit,89.9,0.86,18h43m08.81s,+06d12m15.0s,5625.0,0.96,0.96
106,CoRoTID 223977153,Transit,89.0,1.1,06h40m46.84s,+09d15m26.8s,5970.0,1.08,0.79
107,CT Cha,Imaging,,,11h04m09.09s,-76d27m19.4s,,,
108,DE CVn,Eclipse Timing Variations,86.0,,13h26m53.27s,+45d32m46.69s,,0.51,
109,DENIS-P J082303.1-491201,Astrometry,56.6,,08h23m03.13s,-49d12m01.3s,,0.07,
110,DH Tau,Imaging,,,04h29m41.56s,+26d32m58.3s,,0.33,0.27
111,DMPP-1,Radial Velocity,,,05h47m06.27s,-10d37m48.8s,6196.0,1.21,1.26
112,DMPP-1,Radial Velocity,,,05h47m06.27s,-10d37m48.8s,6196.0,1.21,1.26
113,DMPP-1,Radial Velocity,,,05h47m06.27s,-10d37m48.8s,6196.0,1.21,1.26
114,DMPP-1,Radial Velocity,,,05h47m06.27s,-10d37m48.8s,6196.0,1.21,1.26
115,DMPP-2,Radial Velocity,,,01h49m37.89s,-34d27m32.9s,6500.0,1.44,1.78
116,DMPP-3 A,Radial Velocity,,,06h06m29.85s,-72d30m45.6s,5138.0,0.87,0.91
117,DP Leo,Eclipse Timing Variations,,,11h17m16.00s,+17d57m41.1s,13500.0,,0.01
118,DS Tuc A,Transit,89.5,,23h39m39.48s,-69d11m44.7s,5428.0,1.01,0.96
119,EPIC 201238110,Transit,,,11h58m49.42s,-03d23m21.8s,,0.41,
120,EPIC 201497682,Transit,,,11h15m44.79s,+00d29m17.2s,,0.78,
121,K2-166,Transit,,,12h20m45.19s,+02d16m56.8s,,1.07,
122,K2-16,Transit,,,11h40m23.34s,+04d33m26.4s,,0.67,
123,K2-50,Transit,,,11h17m56.07s,+05d59m18.2s,,0.61,
124,EPIC 201841433,Transit,,,11h40m49.63s,+06d08m05.5s,,0.8,
125,K2-168,Transit,89.81,,22h12m26.37s,-16d20m30.3s,5502.7,0.88,0.83
126,EPIC 206024342,Transit,,,22h05m06.53s,-14d07m18.0s,,0.93,
127,EPIC 206032309,Transit,,,22h44m57.77s,-13d54m03.3s,,0.22,
128,EPIC 206042996,Transit,,,22h30m03.26s,-13d36m36.4s,,0.56,
129,EPIC 206215704,Transit,,,22h20m22.76s,-09d30m34.3s,,0.41,
130,EPIC 206317286,Transit,,,22h30m28.22s,-07d58m20.7s,,0.71,
131,EPIC 211822797,Transit,89.73,,08h41m38.49s,+17d38m24.0s,4148.21,0.66,0.57
132,EPIC 211945201,Transit,,,09h06m17.75s,+19d24m08.1s,6069.0,1.17,1.39
133,EPIC 212297394,Transit,,,13h48m49.49s,-17d36m35.7s,,0.83,
134,EPIC 212424622,Transit,,,13h29m19.54s,-14d21m34.1s,,1.11,
135,EPIC 212499991,Transit,,,13h29m57.30s,-12d44m05.0s,,0.91,
136,EPIC 212587672,Transit,,,13h41m46.73s,-10d51m44.8s,,0.95,
137,EPIC 212737443,Transit,89.071,,13h36m53.21s,-07d19m05.3s,4684.0,0.69,0.67
138,EPIC 212737443,Transit,89.63,,13h36m53.21s,-07d19m05.3s,4684.0,0.69,0.67
139,K2-282,Transit,,,00h53m43.68s,+07d59m43.1s,,0.94,
140,EPIC 220674823,Transit,,,00h52m19.15s,+10d47m40.9s,5617.0,0.97,0.98
141,EPIC 220674823,Transit,,,00h52m19.15s,+10d47m40.9s,5617.0,0.97,0.98
142,EPIC 246851721,Transit,86.21,3.1,05h15m40.74s,+16d16m43.5s,6202.0,1.32,1.59
143,EPIC 248847494,Transit,89.87,,10h37m33.42s,+11d50m33.8s,4898.0,0.9,2.7
144,EPIC 249893012,Transit,86.14,6.39,15h12m59.57s,-16d43m28.3s,5430.0,1.05,1.71
145,EPIC 249893012,Transit,87.94,1.62,15h12m59.57s,-16d43m28.3s,5430.0,1.05,1.71
146,EPIC 249893012,Transit,89.47,0.91,15h12m59.57s,-16d43m28.3s,5430.0,1.05,1.71
147,eps CrB,Radial Velocity,,,15h57m35.25s,+26d52m40.4s,4406.0,1.7,21.0
148,eps Eri,Radial Velocity,89.0,,03h32m55.84s,-09d27m29.7s,,0.78,
149,eps Ind A,Radial Velocity,64.25,,22h03m21.66s,-56d47m09.5s,,0.75,
150,eps Tau,Radial Velocity,,,04h28m37.00s,+19d10m49.6s,4901.0,2.7,13.7
151,FU Tau,Imaging,,,04h23m35.74s,+25d02m59.6s,2838.0,0.05,
152,G 9-40,Transit,88.57,,08h58m52.35s,+21d04m33.8s,3348.0,0.29,0.31
153,gam 1 Leo,Radial Velocity,,,10h19m58.36s,+19d50m29.4s,4330.0,1.23,31.88
154,gam Cep,Radial Velocity,,,23h39m20.85s,+77d37m56.2s,,1.4,4.9
155,gam Lib,Radial Velocity,,,15h35m31.58s,-14d47m22.3s,4822.0,1.47,11.1
156,gam Lib,Radial Velocity,,,15h35m31.58s,-14d47m22.3s,4822.0,1.47,11.1
157,GJ 1061,Radial Velocity,,,03h35m59.72s,-44d30m45.5s,2953.0,0.12,0.16
158,GJ 1061,Radial Velocity,,,03h35m59.72s,-44d30m45.5s,2953.0,0.12,0.16
159,GJ 1061,Radial Velocity,,,03h35m59.72s,-44d30m45.5s,2953.0,0.12,0.16
160,GJ 1132,Transit,,6.3,10h14m51.78s,-47d09m24.2s,3270.0,0.18,0.21
161,GJ 1132,Radial Velocity,,,10h14m51.78s,-47d09m24.2s,3270.0,0.18,0.21
162,GJ 1148,Radial Velocity,,,11h41m44.63s,+42d45m07.1s,3264.0,0.35,0.4
163,GJ 1148,Radial Velocity,,,11h41m44.63s,+42d45m07.1s,3264.0,0.35,0.4
164,GJ 1214,Transit,88.17,1.49,17h15m18.92s,+04d57m50.1s,3026.0,0.15,0.22
165,GJ 1252,Transit,85.0,,20h27m42.06s,-56d27m25.2s,3458.0,0.38,0.39
166,GJ 1265,Radial Velocity,,,22h13m42.88s,-17d41m08.8s,3236.0,0.18,0.19
167,GJ 143,Transit,89.33,7.0,03h26m59.22s,-63d29m56.8s,4640.0,0.73,0.69
168,GJ 15 A,Radial Velocity,,,00h18m22.89s,+44d01m22.6s,3607.0,0.38,0.38
169,GJ 15 A,Radial Velocity,,,00h18m22.89s,+44d01m22.6s,3607.0,0.38,0.38
170,GJ 160.2,Radial Velocity,,,04h06m34.84s,-20d51m11.2s,4347.0,0.69,
171,GJ 163,Radial Velocity,,,04h09m15.67s,-53d22m25.3s,3500.0,0.4,
172,GJ 163,Radial Velocity,,,04h09m15.67s,-53d22m25.3s,3500.0,0.4,
173,GJ 163,Radial Velocity,,,04h09m15.67s,-53d22m25.3s,3500.0,0.4,
174,GJ 179,Radial Velocity,,,04h52m05.73s,+06d28m35.5s,3370.0,0.36,0.38
175,GJ 180,Radial Velocity,,,04h53m49.98s,-17d46m24.3s,,0.43,
176,GJ 180,Radial Velocity,,,04h53m49.98s,-17d46m24.3s,,0.43,
177,GJ 180,Radial Velocity,,,04h53m49.98s,-17d46m24.3s,,0.43,
178,GJ 2056,Radial Velocity,,,07h12m04.81s,-24d53m31.5s,,0.62,
179,GJ 229,Radial Velocity,,,06h10m34.62s,-21d51m52.7s,,0.58,
180,GJ 229,Radial Velocity,,,06h10m34.62s,-21d51m52.7s,,0.58,
181,GJ 27.1,Radial Velocity,,,00h39m58.82s,-44d15m11.6s,3542.0,0.53,
182,GJ 273,Radial Velocity,,,07h27m24.50s,+05d13m32.8s,3382.0,0.29,0.29
183,GJ 273,Radial Velocity,,,07h27m24.50s,+05d13m32.8s,3382.0,0.29,0.29
184,GJ 3021,Radial Velocity,,,00h16m12.68s,-79d51m04.3s,5540.0,0.9,0.9
185,GJ 3082,Radial Velocity,,,01h14m34.20s,-53d56m31.6s,,0.47,
186,GJ 3138,Radial Velocity,,,02h09m10.90s,-16d20m22.5s,3717.0,0.68,0.5
187,GJ 3138,Radial Velocity,,,02h09m10.90s,-16d20m22.5s,3717.0,0.68,0.5
188,GJ 3138,Radial Velocity,,,02h09m10.90s,-16d20m22.5s,3717.0,0.68,0.5
189,GJ 317,Radial Velocity,,,08h40m59.22s,-23d27m22.6s,,0.42,
190,GJ 317,Radial Velocity,,,08h40m59.22s,-23d27m22.6s,,0.42,
191,GJ 328,Radial Velocity,,,08h55m07.62s,+01d32m47.4s,3900.0,0.69,
192,GJ 3293,Radial Velocity,,,04h28m35.72s,-25d10m09.5s,3466.0,0.42,0.4
193,GJ 3293,Radial Velocity,,,04h28m35.72s,-25d10m09.5s,3466.0,0.42,0.4
194,GJ 3293,Radial Velocity,,,04h28m35.72s,-25d10m09.5s,3466.0,0.42,0.4
195,GJ 3293,Radial Velocity,,,04h28m35.72s,-25d10m09.5s,3466.0,0.42,0.4
196,GJ 3323,Radial Velocity,,,05h01m57.43s,-06d56m46.5s,3159.0,0.16,0.12
197,GJ 3323,Radial Velocity,,,05h01m57.43s,-06d56m46.5s,3159.0,0.16,0.12
198,GJ 3341,Radial Velocity,,,05h15m46.72s,-31d17m45.4s,3526.0,0.47,0.44
199,GJ 338 B,Radial Velocity,,,09h14m24.70s,+52d41m10.9s,4005.0,0.64,0.58
200,GJ 3470,Radial Velocity,89.13,0.8,07h59m05.84s,+15d23m29.4s,3600.0,0.54,0.55
201,GJ 3512,Radial Velocity,,,08h41m20.13s,+59d29m50.6s,3081.0,0.12,0.14
202,GJ 357,Transit,89.12,5.6,09h36m01.64s,-21d39m38.9s,3505.0,0.34,0.34
203,GJ 357,Radial Velocity,,,09h36m01.64s,-21d39m38.9s,3505.0,0.34,0.34
204,GJ 357,Radial Velocity,,,09h36m01.64s,-21d39m38.9s,3505.0,0.34,0.34
205,GJ 3634,Radial Velocity,59.0,,10h58m35.10s,-31d08m38.4s,,0.45,0.43
206,GJ 3779,Radial Velocity,,,13h22m56.74s,+24d28m03.5s,3324.0,0.27,0.28
207,GJ 3942,Radial Velocity,,,16h09m03.14s,+52d56m37.9s,3867.0,0.63,0.61
208,GJ 3998,Radial Velocity,,,17h16m00.64s,+11d03m27.6s,3722.0,0.5,0.49
209,GJ 3998,Radial Velocity,,,17h16m00.64s,+11d03m27.6s,3722.0,0.5,0.49
210,GJ 411,Radial Velocity,,,11h03m20.19s,+35d58m11.6s,3563.0,0.39,0.39
211,GJ 422,Radial Velocity,,,11h16m00.21s,-57d32m51.6s,,0.35,
212,GJ 4276,Radial Velocity,,,22h25m17.05s,+59d24m49.8s,3387.0,0.41,0.41
213,GJ 433,Radial Velocity,,,11h35m26.95s,-32d32m23.9s,,0.48,
214,GJ 433,Radial Velocity,,,11h35m26.95s,-32d32m23.9s,,0.48,
215,GJ 433,Radial Velocity,,,11h35m26.95s,-32d32m23.9s,,0.48,
216,GJ 436,Radial Velocity,86.44,1.8,11h42m11.09s,+26d42m23.7s,,0.47,0.46
217,GJ 480,Radial Velocity,,,12h38m52.44s,+11d41m46.2s,,0.45,
218,GJ 504,Imaging,,,13h16m46.52s,+09d25m27.0s,6234.0,1.22,
219,GJ 536,Radial Velocity,,,14h01m03.19s,-02d39m17.5s,3685.0,0.52,0.5
220,GJ 581,Radial Velocity,,,15h19m26.82s,-07d43m20.2s,,0.31,0.29
221,GJ 581,Radial Velocity,,,15h19m26.82s,-07d43m20.2s,,0.31,0.29
222,GJ 581,Radial Velocity,,,15h19m26.82s,-07d43m20.2s,,0.31,0.29
223,GJ 625,Radial Velocity,,,16h25m24.62s,+54d18m14.8s,3499.0,0.3,0.31
224,GJ 649,Radial Velocity,,,16h58m08.85s,+25d44m39.0s,3700.0,0.54,
225,GJ 667 C,Radial Velocity,,,17h18m58.82s,-34d59m48.6s,3350.0,0.33,
226,GJ 667 C,Radial Velocity,,,17h18m58.82s,-34d59m48.6s,3350.0,0.33,
227,GJ 667 C,Radial Velocity,,,17h18m58.82s,-34d59m48.6s,3350.0,0.33,
228,GJ 667 C,Radial Velocity,,,17h18m58.82s,-34d59m48.6s,3350.0,0.33,
229,GJ 667 C,Radial Velocity,,,17h18m58.82s,-34d59m48.6s,3350.0,0.33,
230,GJ 674,Radial Velocity,,,17h28m39.95s,-46d53m42.7s,3600.0,0.35,
231,GJ 676 A,Radial Velocity,,,17h30m11.21s,-51d38m13.1s,3734.0,0.73,0.69
232,GJ 676 A,Radial Velocity,,,17h30m11.21s,-51d38m13.1s,3734.0,0.73,0.69
233,GJ 676 A,Radial Velocity,,,17h30m11.21s,-51d38m13.1s,3734.0,0.73,0.69
234,GJ 676 A,Radial Velocity,,,17h30m11.21s,-51d38m13.1s,3734.0,0.73,0.69
235,GJ 682,Radial Velocity,,,17h37m03.66s,-44d19m09.2s,3028.0,0.27,
236,GJ 682,Radial Velocity,,,17h37m03.66s,-44d19m09.2s,3028.0,0.27,
237,GJ 685,Radial Velocity,,,17h35m34.48s,+61d40m53.6s,3816.0,0.55,0.54
238,GJ 687,Radial Velocity,,,17h36m25.90s,+68d20m20.9s,,0.4,
239,GJ 687,Radial Velocity,,,17h36m25.90s,+68d20m20.9s,,0.4,
240,GJ 832,Radial Velocity,,,21h33m33.98s,-49d00m32.4s,3472.0,0.45,
241,GJ 832,Radial Velocity,,,21h33m33.98s,-49d00m32.4s,3472.0,0.45,
242,GJ 849,Radial Velocity,,,22h09m40.35s,-04d38m26.6s,3241.0,0.65,0.53
243,GJ 86,Radial Velocity,,,02h10m25.93s,-50d49m25.4s,5182.0,0.93,0.77
244,GJ 876,Radial Velocity,59.0,,22h53m16.74s,-14d15m49.3s,,0.32,0.3
245,GJ 876,Radial Velocity,59.0,,22h53m16.74s,-14d15m49.3s,,0.32,0.3
246,GJ 876,Radial Velocity,59.0,,22h53m16.74s,-14d15m49.3s,,0.32,0.3
247,GJ 876,Radial Velocity,59.0,,22h53m16.74s,-14d15m49.3s,,0.32,0.3
248,GJ 887,Radial Velocity,,,23h05m52.04s,-35d51m11.0s,3688.0,0.49,0.47
249,GJ 887,Radial Velocity,,,23h05m52.04s,-35d51m11.0s,3688.0,0.49,0.47
250,GJ 9066,Radial Velocity,,,02h00m12.96s,+13d03m07.1s,,0.15,
251,GJ 9066,Radial Velocity,,,02h00m12.96s,+13d03m07.1s,,0.15,
252,GJ 96,Radial Velocity,,,02h22m14.64s,+47d52m48.1s,3785.0,0.6,
253,GJ 9827,Transit,86.07,6.93,23h27m04.83s,-01d17m10.6s,4340.0,0.61,0.6
254,GJ 9827,Transit,88.19,2.42,23h27m04.83s,-01d17m10.6s,4340.0,0.61,0.6
255,GJ 9827,Transit,87.443,2.69,23h27m04.83s,-01d17m10.6s,4340.0,0.61,0.6
256,Gl 378,Radial Velocity,,,10h02m21.75s,+48d05m19.7s,3879.0,0.56,0.56
257,Gl 49,Radial Velocity,,,01h02m38.87s,+62d20m42.2s,3805.0,0.52,0.51
258,Gl 686,Radial Velocity,,,17h37m53.35s,+18d35m30.2s,3663.0,0.42,0.42
259,GQ Lup,Imaging,,,15h49m12.10s,-35d39m05.1s,,0.7,
260,GSC 06214-00210,Imaging,,,16h21m54.67s,-20d43m09.1s,4200.0,0.9,
261,GU Psc,Imaging,,,01h12m35.04s,+17d03m55.7s,,0.33,
262,HAT-P-1,Transit,85.634,0.282,22h57m46.83s,+38d40m29.8s,5980.0,1.15,1.17
263,HAT-P-11,Transit,,,19h50m50.24s,+48d04m51.1s,4780.0,0.81,0.68
264,HAT-P-11,Radial Velocity,,,19h50m50.24s,+48d04m51.1s,4780.0,0.81,0.68
265,HAT-P-12,Transit,89.0,0.3192,13h57m33.48s,+43d29m36.7s,4650.0,0.73,0.7
266,HAT-P-13,Transit,83.4,,08h39m31.81s,+47d21m07.4s,5653.0,1.22,1.56
267,HAT-P-13,Radial Velocity,,,08h39m31.81s,+47d21m07.4s,5653.0,1.22,1.56
268,HAT-P-14,Transit,83.5,,17h20m27.88s,+38d14m31.8s,6600.0,2.65,1.82
269,HAT-P-15,Transit,89.1,,04h24m59.53s,+39d27m38.3s,5568.0,1.0,1.07
270,HAT-P-16,Transit,86.6,2.42,00h38m17.56s,+42d27m47.1s,6158.0,1.22,1.24
271,HAT-P-17,Transit,89.2,,21h38m08.74s,+30d29m19.4s,5246.0,0.99,0.87
272,HAT-P-17,Radial Velocity,,,21h38m08.74s,+30d29m19.4s,5246.0,0.99,0.87
273,HAT-P-18,Transit,88.8,0.25,17h05m23.15s,+33d00m45.0s,4803.0,0.77,0.75
274,HAT-P-19,Transit,88.2,0.25,00h38m04.02s,+34d42m41.7s,4990.0,0.84,0.82
275,HAT-P-2,Transit,,,16h20m36.36s,+41d02m53.1s,6380.0,1.33,1.39
276,HAT-P-20,Transit,86.8,13.78,07h27m39.95s,+24d20m11.9s,4595.0,0.76,0.69
277,HAT-P-21,Transit,87.2,,11h25m05.99s,+41d01m40.6s,5588.0,1.24,1.21
278,HAT-P-22,Transit,86.9,,10h22m43.61s,+50d07m42.0s,5302.0,1.13,1.11
279,HAT-P-23,Transit,85.1,,20h24m29.72s,+16d45m43.7s,5905.0,0.58,0.96
